transport_mode,km_per_month,flights_per_year,electricity_kwh,energy_source,heating_type,diet_type,food_source,food_waste_level,waste_kg,recycling,shopping_spend,co2_monthly_kg,emission_tier
car_diesel,230.8,0,278.7,renewable,electric,vegetarian,local,high,23.3,most,164.4,244.89,low
car_electric,130.5,2,211.5,mixed,electric,vegetarian,local,medium,20.6,some,129.2,294.26,low
car_petrol,316.0,2,335.3,mixed,gas,omnivore,local,high,36.2,some,50.8,453.5,moderate
cycle,486.8,6,269.7,renewable,gas,meat_heavy,local,medium,36.8,some,186.3,443.9,moderate
car_diesel,228.0,0,262.1,renewable,oil,meat_heavy,local,high,38.3,none,202.3,419.02,moderate
cycle,372.7,0,234.0,mixed,electric,omnivore,imported,medium,23.9,most,206.6,432.11,moderate
train,1758.8,0,167.2,coal,gas,omnivore,mixed,medium,25.8,some,148.2,497.52,moderate
cycle,334.5,2,273.1,coal,oil,omnivore,imported,high,31.1,some,102.1,627.99,high
train,68.4,0,281.1,mixed,none,omnivore,mixed,medium,30.6,none,114.6,284.58,low
car_diesel,433.9,2,190.7,coal,none,meat_heavy,local,medium,28.0,none,185.7,458.71,moderate
car_petrol,280.3,2,374.6,mixed,gas,vegetarian,mixed,low,29.0,some,86.7,388.43,low
bus,455.9,2,305.8,coal,gas,meat_heavy,imported,high,26.4,most,214.2,824.36,high
motorbike,369.6,4,231.5,mixed,gas,omnivore,mixed,high,30.5,some,147.3,559.62,high
car_petrol,295.4,1,344.4,coal,electric,meat_heavy,mixed,medium,41.3,some,154.0,661.7,high
car_petrol,194.3,6,180.5,mixed,oil,omnivore,mixed,medium,25.4,most,451.4,646.18,high
cycle,560.4,4,238.8,renewable,none,vegetarian,local,medium,35.4,none,64.0,237.49,low
cycle,601.2,2,408.7,renewable,gas,omnivore,imported,medium,38.8,some,215.3,426.7,moderate
cycle,568.9,1,379.4,mixed,electric,vegetarian,imported,medium,28.1,some,132.5,348.87,low
car_electric,143.7,0,282.2,coal,oil,omnivore,local,medium,20.8,some,177.2,506.98,moderate
motorbike,306.6,2,251.4,mixed,oil,omnivore,mixed,low,32.4,most,71.7,470.04,moderate
car_petrol,517.1,2,104.9,coal,none,vegetarian,mixed,medium,12.8,some,87.8,340.42,low
motorbike,643.1,1,133.5,mixed,gas,omnivore,mixed,low,26.9,some,124.4,479.41,moderate
bus,395.1,6,255.5,mixed,gas,omnivore,mixed,medium,26.5,none,168.6,579.27,high
car_petrol,311.9,3,194.0,mixed,electric,vegetarian,mixed,high,24.4,most,165.3,412.91,moderate
cycle,143.8,0,140.1,renewable,oil,omnivore,mixed,high,41.1,some,121.6,322.45,low
cycle,410.8,2,88.7,mixed,electric,vegetarian,mixed,high,23.5,most,75.6,277.5,low
car_electric,372.7,0,322.3,mixed,electric,meat_heavy,local,medium,23.3,most,137.9,373.45,low
train,189.4,10,190.2,coal,oil,omnivore,mixed,high,41.6,most,99.1,727.09,high
car_petrol,801.5,6,319.4,mixed,gas,vegetarian,local,high,30.2,most,120.9,618.76,high
bus,564.6,1,358.0,renewable,gas,omnivore,imported,high,46.2,some,41.8,440.26,moderate
